N k T T_init
20000 1 2.4719 1.21497
20000 2 1.28096 0.66296
20000 4 0.899152 0.343431
20000 7 0.429731 0.289334
20000 8 0.36451 0.195875
20000 16 0.181364 0.101474
20000 20 0.195796 0.108158
20000 40 0.152751 0.0781817
40000 1 9.74265 4.78858
40000 2 5.35716 2.73776
40000 4 2.65002 1.39239
40000 7 1.76714 1.09972
40000 8 1.54696 0.716253
40000 16 0.668322 0.366611
40000 20 0.574156 0.322971
40000 40 0.442579 0.267184
